Year,Institute,Branch,Category,Opening_Rank,Closing_Rank,Quota
2020,NIT Surathkal,Civil Engineering,General,9427,11402,Other State
2020,NIT Surathkal,Civil Engineering,OBC-NCL,3968,5318,Other State
2020,NIT Surathkal,Civil Engineering,SC,1742,3684,Other State
2020,NIT Surathkal,Civil Engineering,ST,1302,2627,Other State
2020,NIT Surathkal,Civil Engineering,EWS,3413,5206,Other State
2020,NIT Surathkal,Civil Engineering,PwD,56,1256,Other State
2020,NIT Surathkal,Information Technology,General,2896,4123,Other State
2020,NIT Surathkal,Information Technology,OBC-NCL,1254,2678,Other State
2020,NIT Surathkal,Information Technology,SC,708,2109,Other State
2020,NIT Surathkal,Information Technology,ST,603,2095,Other State
2020,NIT Surathkal,Information Technology,EWS,964,1802,Other State
2020,NIT Surathkal,Information Technology,PwD,20,1996,Other State
2020,NIT Warangal,Computer Science and Engineering,General,2932,4791,Other State
2020,NIT Warangal,Computer Science and Engineering,OBC-NCL,1329,2828,Other State
2020,NIT Warangal,Computer Science and Engineering,SC,382,2145,Other State
2020,NIT Warangal,Computer Science and Engineering,ST,546,1704,Other State
2020,NIT Warangal,Computer Science and Engineering,EWS,1000,2390,Other State
2020,NIT Warangal,Computer Science and Engineering,PwD,1,1982,Other State
2020,NIT Warangal,Electronics and Communication Engineering,General,5588,7206,Other State
2020,NIT Warangal,Electronics and Communication Engineering,OBC-NCL,2230,4129,Other State
2020,NIT Warangal,Electronics and Communication Engineering,SC,961,2343,Other State
2020,NIT Warangal,Electronics and Communication Engineering,ST,967,2306,Other State
2020,NIT Warangal,Electronics and Communication Engineering,EWS,1800,3529,Other State
2020,NIT Warangal,Electronics and Communication Engineering,PwD,231,1181,Other State
2020,NIT Warangal,Electrical Engineering,General,9413,10927,Other State
2020,NIT Warangal,Electrical Engineering,OBC-NCL,3682,5384,Other State
2020,NIT Warangal,Electrical Engineering,SC,1909,2908,Other State
2020,NIT Warangal,Electrical Engineering,ST,1552,3199,Other State
2020,NIT Warangal,Electrical Engineering,EWS,3237,4772,Other State
2020,NIT Warangal,Electrical Engineering,PwD,20,850,Other State
2020,NIT Warangal,Mechanical Engineering,General,9688,11494,Other State
2020,NIT Warangal,Mechanical Engineering,OBC-NCL,3739,5663,Other State
2020,NIT Warangal,Mechanical Engineering,SC,2089,3709,Other State
2020,NIT Warangal,Mechanical Engineering,ST,1229,2297,Other State
2020,NIT Warangal,Mechanical Engineering,EWS,3458,5050,Other State
2020,NIT Warangal,Mechanical Engineering,PwD,12,1399,Other State
2020,NIT Warangal,Civil Engineering,General,9358,10914,Other State
2020,NIT Warangal,Civil Engineering,OBC-NCL,3917,4466,Other State
2020,NIT Warangal,Civil Engineering,SC,2067,2585,Other State
2020,NIT Warangal,Civil Engineering,ST,1438,2134,Other State
2020,NIT Warangal,Civil Engineering,EWS,3503,5476,Other State
2020,NIT Warangal,Civil Engineering,PwD,1,952,Other State
2020,NIT Warangal,Information Technology,General,2938,4602,Other State
2020,NIT Warangal,Information Technology,OBC-NCL,1023,1913,Other State
2020,NIT Warangal,Information Technology,SC,448,1162,Other State
2020,NIT Warangal,Information Technology,ST,240,954,Other State
2020,NIT Warangal,Information Technology,EWS,924,2183,Other State
2020,NIT Warangal,Information Technology,PwD,1,838,Other State
2020,NIT Rourkela,Computer Science and Engineering,General,9618,10831,Other State
2020,NIT Rourkela,Computer Science and Engineering,OBC-NCL,3960,5028,Other State
2020,NIT Rourkela,Computer Science and Engineering,SC,2091,2808,Other State
2020,NIT Rourkela,Computer Science and Engineering,ST,1286,1987,Other State
2020,NIT Rourkela,Computer Science and Engineering,EWS,3141,3962,Other State
2020,NIT Rourkela,Computer Science and Engineering,PwD,1,1849,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,General,15317,16497,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,OBC-NCL,5961,7958,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,SC,3058,4785,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,ST,2150,3668,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,EWS,5506,6783,Other State
2020,NIT Rourkela,Electronics and Communication Engineering,PwD,49,1917,Other State
2020,NIT Rourkela,Electrical Engineering,General,22890,23597,Other State
2020,NIT Rourkela,Electrical Engineering,OBC-NCL,8921,10006,Other State
2020,NIT Rourkela,Electrical Engineering,SC,4525,5046,Other State
2020,NIT Rourkela,Electrical Engineering,ST,3373,5335,Other State
2020,NIT Rourkela,Electrical Engineering,EWS,8073,8791,Other State
2020,NIT Rourkela,Electrical Engineering,PwD,184,913,Other State
2020,NIT Rourkela,Mechanical Engineering,General,22619,23671,Other State
2020,NIT Rourkela,Mechanical Engineering,OBC-NCL,9067,10698,Other State
2020,NIT Rourkela,Mechanical Engineering,SC,4443,5309,Other State
2020,NIT Rourkela,Mechanical Engineering,ST,3541,5478,Other State
2020,NIT Rourkela,Mechanical Engineering,EWS,8087,9388,Other State
2020,NIT Rourkela,Mechanical Engineering,PwD,350,2007,Other State
2020,NIT Rourkela,Civil Engineering,General,22806,24612,Other State
2020,NIT Rourkela,Civil Engineering,OBC-NCL,9185,9757,Other State
2020,NIT Rourkela,Civil Engineering,SC,4711,5770,Other State
2020,NIT Rourkela,Civil Engineering,ST,3545,4789,Other State
2020,NIT Rourkela,Civil Engineering,EWS,7878,9460,Other State
2020,NIT Rourkela,Civil Engineering,PwD,285,1197,Other State
2020,NIT Rourkela,Information Technology,General,9364,10458,Other State
2020,NIT Rourkela,Information Technology,OBC-NCL,3753,4518,Other State
2020,NIT Rourkela,Information Technology,SC,2008,3610,Other State
2020,NIT Rourkela,Information Technology,ST,1539,2700,Other State
2020,NIT Rourkela,Information Technology,EWS,3172,4588,Other State
2020,NIT Rourkela,Information Technology,PwD,273,2044,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,General,9577,10944,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,OBC-NCL,3697,4610,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,SC,1724,2507,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,ST,1593,2393,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,EWS,3192,4722,Other State
2020,MNNIT Allahabad,Computer Science and Engineering,PwD,199,1859,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,General,15163,15745,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,OBC-NCL,6264,8207,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,SC,2912,4672,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,ST,2125,3242,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,EWS,5407,6168,Other State
2020,MNNIT Allahabad,Electronics and Communication Engineering,PwD,127,1816,Other State
2020,MNNIT Allahabad,Electrical Engineering,General,22744,24085,Other State
2020,MNNIT Allahabad,Electrical Engineering,OBC-NCL,9289,9842,Other State
2020,MNNIT Allahabad,Electrical Engineering,SC,4537,6479,Other State
2020,MNNIT Allahabad,Electrical Engineering,ST,3463,5327,Other State
2020,MNNIT Allahabad,Electrical Engineering,EWS,7905,9837,Other State
2020,MNNIT Allahabad,Electrical Engineering,PwD,394,2188,Other State
2020,MNNIT Allahabad,Mechanical Engineering,General,22731,23609,Other State
2020,MNNIT Allahabad,Mechanical Engineering,OBC-NCL,8992,10406,Other State
2020,MNNIT Allahabad,Mechanical Engineering,SC,4607,5966,Other State
2020,MNNIT Allahabad,Mechanical Engineering,ST,3492,4034,Other State
2020,MNNIT Allahabad,Mechanical Engineering,EWS,8155,9719,Other State
2020,MNNIT Allahabad,Mechanical Engineering,PwD,197,908,Other State
2020,MNNIT Allahabad,Civil Engineering,General,22767,23305,Other State
2020,MNNIT Allahabad,Civil Engineering,OBC-NCL,9288,10544,Other State
2020,MNNIT Allahabad,Civil Engineering,SC,4510,6144,Other State
2020,MNNIT Allahabad,Civil Engineering,ST,3266,4789,Other State
2020,MNNIT Allahabad,Civil Engineering,EWS,7841,9077,Other State
2020,MNNIT Allahabad,Civil Engineering,PwD,393,961,Other State
2020,MNNIT Allahabad,Information Technology,General,9598,11041,Other State
2020,MNNIT Allahabad,Information Technology,OBC-NCL,3889,4684,Other State
2020,MNNIT Allahabad,Information Technology,SC,1902,2462,Other State
2020,MNNIT Allahabad,Information Technology,ST,1542,3379,Other State
2020,MNNIT Allahabad,Information Technology,EWS,3285,4115,Other State
2020,MNNIT Allahabad,Information Technology,PwD,1,838,Other State
2020,NIT Calicut,Computer Science and Engineering,General,9393,11220,Other State
2020,NIT Calicut,Computer Science and Engineering,OBC-NCL,3737,5598,Other State
2020,NIT Calicut,Computer Science and Engineering,SC,1737,2875,Other State
2020,NIT Calicut,Computer Science and Engineering,ST,1499,3186,Other State
2020,NIT Calicut,Computer Science and Engineering,EWS,3443,4531,Other State
2020,NIT Calicut,Computer Science and Engineering,PwD,68,954,Other State
2020,NIT Calicut,Electronics and Communication Engineering,General,15357,16689,Other State
2020,NIT Calicut,Electronics and Communication Engineering,OBC-NCL,6255,7357,Other State
2020,NIT Calicut,Electronics and Communication Engineering,SC,3077,4267,Other State
2020,NIT Calicut,Electronics and Communication Engineering,ST,2288,3884,Other State
2020,NIT Calicut,Electronics and Communication Engineering,EWS,5509,6303,Other State
2020,NIT Calicut,Electronics and Communication Engineering,PwD,320,1615,Other State
2020,NIT Calicut,Electrical Engineering,General,22952,24000,Other State
2020,NIT Calicut,Electrical Engineering,OBC-NCL,9056,10123,Other State
2020,NIT Calicut,Electrical Engineering,SC,4546,5898,Other State
2020,NIT Calicut,Electrical Engineering,ST,3477,4421,Other State
2020,NIT Calicut,Electrical Engineering,EWS,7836,8698,Other State
2020,NIT Calicut,Electrical Engineering,PwD,150,1861,Other State
2020,NIT Calicut,Mechanical Engineering,General,22829,24008,Other State
2020,NIT Calicut,Mechanical Engineering,OBC-NCL,9033,10808,Other State
2020,NIT Calicut,Mechanical Engineering,SC,4466,6324,Other State
2020,NIT Calicut,Mechanical Engineering,ST,3311,3873,Other State
2020,NIT Calicut,Mechanical Engineering,EWS,7928,8939,Other State
2020,NIT Calicut,Mechanical Engineering,PwD,166,1874,Other State
2020,NIT Calicut,Civil Engineering,General,22804,24075,Other State
2020,NIT Calicut,Civil Engineering,OBC-NCL,9133,9888,Other State
2020,NIT Calicut,Civil Engineering,SC,4494,5868,Other State
2020,NIT Calicut,Civil Engineering,ST,3529,4116,Other State
2020,NIT Calicut,Civil Engineering,EWS,8102,9589,Other State
2020,NIT Calicut,Civil Engineering,PwD,234,1886,Other State
2020,NIT Calicut,Information Technology,General,9610,11136,Other State
2020,NIT Calicut,Information Technology,OBC-NCL,3841,4461,Other State
2020,NIT Calicut,Information Technology,SC,2084,3645,Other State
2020,NIT Calicut,Information Technology,ST,1565,3072,Other State
2020,NIT Calicut,Information Technology,EWS,3257,4470,Other State
2020,NIT Calicut,Information Technology,PwD,242,762,Other State
2020,NIT Durgapur,Computer Science and Engineering,General,9541,10495,Other State
2020,NIT Durgapur,Computer Science and Engineering,OBC-NCL,3708,4510,Other State
2020,NIT Durgapur,Computer Science and Engineering,SC,1783,3085,Other State
2020,NIT Durgapur,Computer Science and Engineering,ST,1293,2945,Other State
2020,NIT Durgapur,Computer Science and Engineering,EWS,3320,3959,Other State
2020,NIT Durgapur,Computer Science and Engineering,PwD,177,988,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,General,15233,16009,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,OBC-NCL,5940,7782,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,SC,3217,3768,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,ST,2423,3075,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,EWS,5356,7190,Other State
2020,NIT Durgapur,Electronics and Communication Engineering,PwD,253,1296,Other State
2020,NIT Durgapur,Electrical Engineering,General,22654,24566,Other State
2020,NIT Durgapur,Electrical Engineering,OBC-NCL,8955,10076,Other State
2020,NIT Durgapur,Electrical Engineering,SC,4536,6421,Other State
2020,NIT Durgapur,Electrical Engineering,ST,3533,4839,Other State
2020,NIT Durgapur,Electrical Engineering,EWS,8114,8710,Other State
2020,NIT Durgapur,Electrical Engineering,PwD,396,2132,Other State
2020,NIT Durgapur,Mechanical Engineering,General,22916,23552,Other State
2020,NIT Durgapur,Mechanical Engineering,OBC-NCL,8925,10435,Other State
2020,NIT Durgapur,Mechanical Engineering,SC,4468,5514,Other State
2020,NIT Durgapur,Mechanical Engineering,ST,3258,4419,Other State
2020,NIT Durgapur,Mechanical Engineering,EWS,7896,8656,Other State
2020,NIT Durgapur,Mechanical Engineering,PwD,114,1078,Other State
2020,NIT Durgapur,Civil Engineering,General,22675,23645,Other State
2020,NIT Durgapur,Civil Engineering,OBC-NCL,9232,10626,Other State
2020,NIT Durgapur,Civil Engineering,SC,4573,5529,Other State
2020,NIT Durgapur,Civil Engineering,ST,3504,5266,Other State
2020,NIT Durgapur,Civil Engineering,EWS,7943,9095,Other State
2020,NIT Durgapur,Civil Engineering,PwD,187,2082,Other State
2020,NIT Durgapur,Information Technology,General,9411,10979,Other State
2020,NIT Durgapur,Information Technology,OBC-NCL,3846,4942,Other State
2020,NIT Durgapur,Information Technology,SC,1833,2952,Other State
2020,NIT Durgapur,Information Technology,ST,1242,2403,Other State
2020,NIT Durgapur,Information Technology,EWS,3370,4158,Other State
2020,NIT Durgapur,Information Technology,PwD,103,1240,Other State
2020,NIT Jaipur,Computer Science and Engineering,General,9534,10449,Other State
2020,NIT Jaipur,Computer Science and Engineering,OBC-NCL,3721,5240,Other State
2020,NIT Jaipur,Computer Science and Engineering,SC,1814,3245,Other State
2020,NIT Jaipur,Computer Science and Engineering,ST,1386,3143,Other State
2020,NIT Jaipur,Computer Science and Engineering,EWS,3152,4686,Other State
2020,NIT Jaipur,Computer Science and Engineering,PwD,100,846,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,General,15046,16303,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,OBC-NCL,6006,6652,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,SC,2957,4862,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,ST,2231,3093,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,EWS,5256,6954,Other State
2020,NIT Jaipur,Electronics and Communication Engineering,PwD,240,1697,Other State
2020,NIT Jaipur,Electrical Engineering,General,22618,23312,Other State
2020,NIT Jaipur,Electrical Engineering,OBC-NCL,9249,9923,Other State
2020,NIT Jaipur,Electrical Engineering,SC,4713,5353,Other State
2020,NIT Jaipur,Electrical Engineering,ST,3465,4894,Other State
2020,NIT Jaipur,Electrical Engineering,EWS,7871,8609,Other State
2020,NIT Jaipur,Electrical Engineering,PwD,232,1291,Other State
2020,NIT Jaipur,Mechanical Engineering,General,22844,24175,Other State
2020,NIT Jaipur,Mechanical Engineering,OBC-NCL,9236,10660,Other State
2020,NIT Jaipur,Mechanical Engineering,SC,4654,5793,Other State
2020,NIT Jaipur,Mechanical Engineering,ST,3563,5368,Other State
2020,NIT Jaipur,Mechanical Engineering,EWS,7795,8365,Other State
2020,NIT Jaipur,Mechanical Engineering,PwD,296,2144,Other State
2020,NIT Jaipur,Civil Engineering,General,22881,23685,Other State
2020,NIT Jaipur,Civil Engineering,OBC-NCL,8926,10763,Other State
2020,NIT Jaipur,Civil Engineering,SC,4664,6290,Other State
2020,NIT Jaipur,Civil Engineering,ST,3528,4220,Other State
2020,NIT Jaipur,Civil Engineering,EWS,8019,9047,Other State
2020,NIT Jaipur,Civil Engineering,PwD,198,948,Other State
2020,NIT Jaipur,Information Technology,General,9552,11462,Other State
2020,NIT Jaipur,Information Technology,OBC-NCL,3806,4846,Other State
2020,NIT Jaipur,Information Technology,SC,1816,2731,Other State
2020,NIT Jaipur,Information Technology,ST,1506,3409,Other State
2020,NIT Jaipur,Information Technology,EWS,3268,3792,Other State
2020,NIT Jaipur,Information Technology,PwD,204,1371,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,General,9372,10503,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,OBC-NCL,3911,5527,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,SC,1785,2620,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,ST,1588,3034,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,EWS,3242,4964,Other State
2020,NIT Kurukshetra,Computer Science and Engineering,PwD,100,2036,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,General,15338,16496,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,OBC-NCL,6150,7548,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,SC,2978,4419,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,ST,2109,2665,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,EWS,5351,6508,Other State
2020,NIT Kurukshetra,Electronics and Communication Engineering,PwD,335,1394,Other State
2020,NIT Kurukshetra,Electrical Engineering,General,22793,23826,Other State
2020,NIT Kurukshetra,Electrical Engineering,OBC-NCL,8925,10140,Other State
2020,NIT Kurukshetra,Electrical Engineering,SC,4598,5282,Other State
2020,NIT Kurukshetra,Electrical Engineering,ST,3579,4370,Other State
2020,NIT Kurukshetra,Electrical Engineering,EWS,8113,9344,Other State
2020,NIT Kurukshetra,Electrical Engineering,PwD,143,1467,Other State
2020,NIT Kurukshetra,Mechanical Engineering,General,22648,23832,Other State
2020,NIT Kurukshetra,Mechanical Engineering,OBC-NCL,9001,10334,Other State
2020,NIT Kurukshetra,Mechanical Engineering,SC,4692,5748,Other State
2020,NIT Kurukshetra,Mechanical Engineering,ST,3554,4585,Other State
2020,NIT Kurukshetra,Mechanical Engineering,EWS,7999,9133,Other State
2020,NIT Kurukshetra,Mechanical Engineering,PwD,261,1083,Other State
2020,NIT Kurukshetra,Civil Engineering,General,22938,23440,Other State
2020,NIT Kurukshetra,Civil Engineering,OBC-NCL,9101,9806,Other State
2020,NIT Kurukshetra,Civil Engineering,SC,4679,5218,Other State
2020,NIT Kurukshetra,Civil Engineering,ST,3278,4728,Other State
2020,NIT Kurukshetra,Civil Engineering,EWS,7840,8983,Other State
2020,NIT Kurukshetra,Civil Engineering,PwD,87,1429,Other State
2020,NIT Kurukshetra,Information Technology,General,9421,10539,Other State
2020,NIT Kurukshetra,Information Technology,OBC-NCL,3695,5632,Other State
2020,NIT Kurukshetra,Information Technology,SC,1934,3331,Other State
2020,NIT Kurukshetra,Information Technology,ST,1286,3065,Other State
2020,NIT Kurukshetra,Information Technology,EWS,3173,4577,Other State
2020,NIT Kurukshetra,Information Technology,PwD,242,1412,Other State
2020,NIT Nagpur,Computer Science and Engineering,General,9423,10239,Other State
2020,NIT Nagpur,Computer Science and Engineering,OBC-NCL,3806,5377,Other State
2020,NIT Nagpur,Computer Science and Engineering,SC,1835,3559,Other State
2020,NIT Nagpur,Computer Science and Engineering,ST,1474,2287,Other State
2020,NIT Nagpur,Computer Science and Engineering,EWS,3481,5372,Other State
2020,NIT Nagpur,Computer Science and Engineering,PwD,212,1518,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,General,15313,17191,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,OBC-NCL,6090,6633,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,SC,2868,3938,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,ST,2150,3765,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,EWS,5384,6778,Other State
2020,NIT Nagpur,Electronics and Communication Engineering,PwD,171,1595,Other State
2020,NIT Nagpur,Electrical Engineering,General,22999,24225,Other State
2020,NIT Nagpur,Electrical Engineering,OBC-NCL,9306,10663,Other State
2020,NIT Nagpur,Electrical Engineering,SC,4651,5640,Other State
2020,NIT Nagpur,Electrical Engineering,ST,3464,5457,Other State
2020,NIT Nagpur,Electrical Engineering,EWS,7840,9277,Other State
2020,NIT Nagpur,Electrical Engineering,PwD,359,2327,Other State
2020,NIT Nagpur,Mechanical Engineering,General,22868,23634,Other State
2020,NIT Nagpur,Mechanical Engineering,OBC-NCL,8973,10000,Other State
2020,NIT Nagpur,Mechanical Engineering,SC,4367,5482,Other State
2020,NIT Nagpur,Mechanical Engineering,ST,3278,4841,Other State
2020,NIT Nagpur,Mechanical Engineering,EWS,8015,9469,Other State
2020,NIT Nagpur,Mechanical Engineering,PwD,413,1646,Other State
2020,NIT Nagpur,Civil Engineering,General,22803,23952,Other State
2020,NIT Nagpur,Civil Engineering,OBC-NCL,9219,10113,Other State
2020,NIT Nagpur,Civil Engineering,SC,4566,6425,Other State
2020,NIT Nagpur,Civil Engineering,ST,3300,4313,Other State
2020,NIT Nagpur,Civil Engineering,EWS,7956,8851,Other State
2020,NIT Nagpur,Civil Engineering,PwD,398,1755,Other State
2020,NIT Nagpur,Information Technology,General,9578,10735,Other State
2020,NIT Nagpur,Information Technology,OBC-NCL,3917,5152,Other State
2020,NIT Nagpur,Information Technology,SC,2068,2951,Other State
2020,NIT Nagpur,Information Technology,ST,1286,2290,Other State
2020,NIT Nagpur,Information Technology,EWS,3363,4057,Other State
2020,NIT Nagpur,Information Technology,PwD,60,1805,Other State
2021,NIT Trichy,Computer Science and Engineering,General,2485,4137,Other State
2021,NIT Trichy,Computer Science and Engineering,OBC-NCL,1022,1677,Other State
2021,NIT Trichy,Computer Science and Engineering,SC,702,2124,Other State
2021,NIT Trichy,Computer Science and Engineering,ST,548,1950,Other State
2021,NIT Trichy,Computer Science and Engineering,EWS,995,2493,Other State
2021,NIT Trichy,Computer Science and Engineering,PwD,32,919,Other State
2021,NIT Trichy,Electronics and Communication Engineering,General,5328,6714,Other State
2021,NIT Trichy,Electronics and Communication Engineering,OBC-NCL,2225,4088,Other State
2021,NIT Trichy,Electronics and Communication Engineering,SC,1206,2045,Other State
2021,NIT Trichy,Electronics and Communication Engineering,ST,790,1450,Other State
2021,NIT Trichy,Electronics and Communication Engineering,EWS,1664,2555,Other State
2021,NIT Trichy,Electronics and Communication Engineering,PwD,108,1182,Other State
2021,NIT Trichy,Electrical Engineering,General,8571,10164,Other State
2021,NIT Trichy,Electrical Engineering,OBC-NCL,3680,4584,Other State
2021,NIT Trichy,Electrical Engineering,SC,1645,2972,Other State
2021,NIT Trichy,Electrical Engineering,ST,1231,2420,Other State
2021,NIT Trichy,Electrical Engineering,EWS,3037,4438,Other State
2021,NIT Trichy,Electrical Engineering,PwD,103,658,Other State
2021,NIT Trichy,Mechanical Engineering,General,8915,9869,Other State
2021,NIT Trichy,Mechanical Engineering,OBC-NCL,3403,3979,Other State
2021,NIT Trichy,Mechanical Engineering,SC,1779,3560,Other State
2021,NIT Trichy,Mechanical Engineering,ST,1375,2205,Other State
2021,NIT Trichy,Mechanical Engineering,EWS,3043,4435,Other State
2021,NIT Trichy,Mechanical Engineering,PwD,142,1329,Other State
2021,NIT Trichy,Civil Engineering,General,8576,10375,Other State
2021,NIT Trichy,Civil Engineering,OBC-NCL,3439,4237,Other State
2021,NIT Trichy,Civil Engineering,SC,1836,3450,Other State
2021,NIT Trichy,Civil Engineering,ST,1172,2129,Other State
2021,NIT Trichy,Civil Engineering,EWS,3226,4584,Other State
2021,NIT Trichy,Civil Engineering,PwD,49,899,Other State
2021,NIT Trichy,Information Technology,General,2567,4490,Other State
2021,NIT Trichy,Information Technology,OBC-NCL,1102,2382,Other State
2021,NIT Trichy,Information Technology,SC,693,1995,Other State
2021,NIT Trichy,Information Technology,ST,379,1795,Other State
2021,NIT Trichy,Information Technology,EWS,1021,2021,Other State
